t,theta
0.00000000,1.00000000
0.00100000,1.00000000
0.00200000,0.99999587
0.00300000,0.99998349
0.00400000,0.99996285
0.00500000,0.99993396
0.00600000,0.99989682
0.00700000,0.99985142
0.00800000,0.99979776
0.00900000,0.99973585
0.01000000,0.99966569
0.01100000,0.99958728
0.01200000,0.99950061
0.01300000,0.99940569
0.01400000,0.99930252
0.01500000,0.99919110
0.01600000,0.99907142
0.01700000,0.99894350
0.01800000,0.99880733
0.01900000,0.99866291
0.02000000,0.99851024
0.02100000,0.99834933
0.02200000,0.99818016
0.02300000,0.99800276
0.02400000,0.99781711
0.02500000,0.99762321
0.02600000,0.99742108
0.02700000,0.99721070
0.02800000,0.99699208
0.02900000,0.99676523
0.03000000,0.99653013
0.03100000,0.99628680
0.03200000,0.99603524
0.03300000,0.99577544
0.03400000,0.99550741
0.03500000,0.99523115
0.03600000,0.99494666
0.03700000,0.99465394
0.03800000,0.99435299
0.03900000,0.99404382
0.04000000,0.99372643
0.04100000,0.99340081
0.04200000,0.99306698
0.04300000,0.99272492
0.04400000,0.99237465
0.04500000,0.99201617
0.04600000,0.99164948
0.04700000,0.99127457
0.04800000,0.99089146
0.04900000,0.99050014
0.05000000,0.99010061
0.05100000,0.98969289
0.05200000,0.98927696
0.05300000,0.98885284
0.05400000,0.98842052
0.05500000,0.98798001
0.05600000,0.98753131
0.05700000,0.98707442
0.05800000,0.98660934
0.05900000,0.98613608
0.06000000,0.98565464
0.06100000,0.98516503
0.06200000,0.98466723
0.06300000,0.98416127
0.06400000,0.98364713
0.06500000,0.98312483
0.06600000,0.98259437
0.06700000,0.98205574
0.06800000,0.98150895
0.06900000,0.98095401
0.07000000,0.98039092
0.07100000,0.97981967
0.07200000,0.97924028
0.07300000,0.97865275
0.07400000,0.97805708
0.07500000,0.97745327
0.07600000,0.97684133
0.07700000,0.97622126
0.07800000,0.97559306
0.07900000,0.97495674
0.08000000,0.97431230
0.08100000,0.97365974
0.08200000,0.97299907
0.08300000,0.97233029
0.08400000,0.97165341
0.08500000,0.97096843
0.08600000,0.97027535
0.08700000,0.96957417
0.08800000,0.96886491
0.08900000,0.96814756
0.09000000,0.96742212
0.09100000,0.96668861
0.09200000,0.96594703
0.09300000,0.96519737
0.09400000,0.96443966
0.09500000,0.96367388
0.09600000,0.96290004
0.09700000,0.96211815
0.09800000,0.96132821
0.09900000,0.96053023
0.10000000,0.95972421
0.10100000,0.95891015
0.10200000,0.95808807
0.10300000,0.95725796
0.10400000,0.95641982
0.10500000,0.95557368
0.10600000,0.95471952
0.10700000,0.95385735
0.10800000,0.95298718
0.10900000,0.95210902
0.11000000,0.95122286
0.11100000,0.95032872
0.11200000,0.94942660
0.11300000,0.94851650
0.11400000,0.94759843
0.11500000,0.94667239
0.11600000,0.94573839
0.11700000,0.94479644
0.11800000,0.94384654
0.11900000,0.94288869
0.12000000,0.94192290
0.12100000,0.94094919
0.12200000,0.93996754
0.12300000,0.93897797
0.12400000,0.93798049
0.12500000,0.93697509
0.12600000,0.93596179
0.12700000,0.93494059
0.12800000,0.93391150
0.12900000,0.93287452
0.13000000,0.93182966
0.13100000,0.93077693
0.13200000,0.92971633
0.13300000,0.92864786
0.13400000,0.92757154
0.13500000,0.92648738
0.13600000,0.92539536
0.13700000,0.92429551
0.13800000,0.92318783
0.13900000,0.92207233
0.14000000,0.92094901
0.14100000,0.91981788
0.14200000,0.91867894
0.14300000,0.91753221
0.14400000,0.91637769
0.14500000,0.91521538
0.14600000,0.91404530
0.14700000,0.91286745
0.14800000,0.91168184
0.14900000,0.91048847
0.15000000,0.90928735
0.15100000,0.90807849
0.15200000,0.90686190
0.15300000,0.90563759
0.15400000,0.90440555
0.15500000,0.90316580
0.15600000,0.90191835
0.15700000,0.90066321
0.15800000,0.89940037
0.15900000,0.89812986
0.16000000,0.89685167
0.16100000,0.89556581
0.16200000,0.89427230
0.16300000,0.89297114
0.16400000,0.89166234
0.16500000,0.89034590
0.16600000,0.88902184
0.16700000,0.88769017
0.16800000,0.88635088
0.16900000,0.88500399
0.17000000,0.88364951
0.17100000,0.88228745
0.17200000,0.88091781
0.17300000,0.87954061
0.17400000,0.87815585
0.17500000,0.87676353
0.17600000,0.87536368
0.17700000,0.87395630
0.17800000,0.87254139
0.17900000,0.87111897
0.18000000,0.86968904
0.18100000,0.86825162
0.18200000,0.86680671
0.18300000,0.86535432
0.18400000,0.86389446
0.18500000,0.86242715
0.18600000,0.86095238
0.18700000,0.85947018
0.18800000,0.85798054
0.18900000,0.85648348
0.19000000,0.85497901
0.19100000,0.85346714
0.19200000,0.85194787
0.19300000,0.85042122
0.19400000,0.84888720
0.19500000,0.84734582
0.19600000,0.84579708
0.19700000,0.84424100
0.19800000,0.84267759
0.19900000,0.84110686
0.20000000,0.83952881
0.20100000,0.83794346
0.20200000,0.83635082
0.20300000,0.83475090
0.20400000,0.83314371
0.20500000,0.83152926
0.20600000,0.82990756
0.20700000,0.82827862
0.20800000,0.82664245
0.20900000,0.82499907
0.21000000,0.82334848
0.21100000,0.82169070
0.21200000,0.82002573
0.21300000,0.81835359
0.21400000,0.81667429
0.21500000,0.81498783
0.21600000,0.81329424
0.21700000,0.81159352
0.21800000,0.80988569
0.21900000,0.80817075
0.22000000,0.80644872
0.22100000,0.80471960
0.22200000,0.80298342
0.22300000,0.80124018
0.22400000,0.79948989
0.22500000,0.79773257
0.22600000,0.79596823
0.22700000,0.79419688
0.22800000,0.79241853
0.22900000,0.79063320
0.23000000,0.78884089
0.23100000,0.78704162
0.23200000,0.78523541
0.23300000,0.78342226
0.23400000,0.78160218
0.23500000,0.77977520
0.23600000,0.77794132
0.23700000,0.77610055
0.23800000,0.77425291
0.23900000,0.77239841
0.24000000,0.77053707
0.24100000,0.76866889
0.24200000,0.76679390
0.24300000,0.76491209
0.24400000,0.76302350
0.24500000,0.76112812
0.24600000,0.75922598
0.24700000,0.75731709
0.24800000,0.75540145
0.24900000,0.75347909
0.25000000,0.75155002
0.25100000,0.74961425
0.25200000,0.74767180
0.25300000,0.74572267
0.25400000,0.74376689
0.25500000,0.74180447
0.25600000,0.73983542
0.25700000,0.73785976
0.25800000,0.73587750
0.25900000,0.73388865
0.26000000,0.73189323
0.26100000,0.72989126
0.26200000,0.72788274
0.26300000,0.72586770
0.26400000,0.72384615
0.26500000,0.72181810
0.26600000,0.71978357
0.26700000,0.71774257
0.26800000,0.71569512
0.26900000,0.71364123
0.27000000,0.71158092
0.27100000,0.70951421
0.27200000,0.70744110
0.27300000,0.70536162
0.27400000,0.70327578
0.27500000,0.70118360
0.27600000,0.69908508
0.27700000,0.69698025
0.27800000,0.69486913
0.27900000,0.69275172
0.28000000,0.69062805
0.28100000,0.68849813
0.28200000,0.68636198
0.28300000,0.68421961
0.28400000,0.68207104
0.28500000,0.67991629
0.28600000,0.67775537
0.28700000,0.67558829
0.28800000,0.67341508
0.28900000,0.67123576
0.29000000,0.66905033
0.29100000,0.66685882
0.29200000,0.66466124
0.29300000,0.66245761
0.29400000,0.66024794
0.29500000,0.65803226
0.29600000,0.65581058
0.29700000,0.65358292
0.29800000,0.65134929
0.29900000,0.64910972
0.30000000,0.64686421
0.30100000,0.64461279
0.30200000,0.64235548
0.30300000,0.64009229
0.30400000,0.63782325
0.30500000,0.63554836
0.30600000,0.63326764
0.30700000,0.63098112
0.30800000,0.62868882
0.30900000,0.62639075
0.31000000,0.62408692
0.31100000,0.62177736
0.31200000,0.61946209
0.31300000,0.61714112
0.31400000,0.61481448
0.31500000,0.61248217
0.31600000,0.61014423
0.31700000,0.60780067
0.31800000,0.60545150
0.31900000,0.60309675
0.32000000,0.60073644
0.32100000,0.59837058
0.32200000,0.59599920
0.32300000,0.59362230
0.32400000,0.59123993
0.32500000,0.58885208
0.32600000,0.58645878
0.32700000,0.58406006
0.32800000,0.58165593
0.32900000,0.57924640
0.33000000,0.57683151
0.33100000,0.57441127
0.33200000,0.57198569
0.33300000,0.56955481
0.33400000,0.56711864
0.33500000,0.56467719
0.33600000,0.56223050
0.33700000,0.55977858
0.33800000,0.55732144
0.33900000,0.55485912
0.34000000,0.55239163
0.34100000,0.54991900
0.34200000,0.54744124
0.34300000,0.54495837
0.34400000,0.54247041
0.34500000,0.53997739
0.34600000,0.53747933
0.34700000,0.53497625
0.34800000,0.53246816
0.34900000,0.52995509
0.35000000,0.52743707
0.35100000,0.52491410
0.35200000,0.52238623
0.35300000,0.51985345
0.35400000,0.51731580
0.35500000,0.51477331
0.35600000,0.51222598
0.35700000,0.50967384
0.35800000,0.50711692
0.35900000,0.50455523
0.36000000,0.50198880
0.36100000,0.49941765
0.36200000,0.49684181
0.36300000,0.49426128
0.36400000,0.49167611
0.36500000,0.48908630
0.36600000,0.48649188
0.36700000,0.48389288
0.36800000,0.48128931
0.36900000,0.47868120
0.37000000,0.47606857
0.37100000,0.47345145
0.37200000,0.47082985
0.37300000,0.46820381
0.37400000,0.46557333
0.37500000,0.46293845
0.37600000,0.46029920
0.37700000,0.45765558
0.37800000,0.45500763
0.37900000,0.45235537
0.38000000,0.44969882
0.38100000,0.44703800
0.38200000,0.44437295
0.38300000,0.44170368
0.38400000,0.43903021
0.38500000,0.43635257
0.38600000,0.43367079
0.38700000,0.43098489
0.38800000,0.42829489
0.38900000,0.42560081
0.39000000,0.42290268
0.39100000,0.42020053
0.39200000,0.41749438
0.39300000,0.41478424
0.39400000,0.41207016
0.39500000,0.40935214
0.39600000,0.40663022
0.39700000,0.40390443
0.39800000,0.40117477
0.39900000,0.39844129
0.40000000,0.39570399
0.40100000,0.39296292
0.40200000,0.39021809
0.40300000,0.38746953
0.40400000,0.38471726
0.40500000,0.38196131
0.40600000,0.37920171
0.40700000,0.37643847
0.40800000,0.37367163
0.40900000,0.37090120
0.41000000,0.36812722
0.41100000,0.36534971
0.41200000,0.36256870
0.41300000,0.35978420
0.41400000,0.35699625
0.41500000,0.35420488
0.41600000,0.35141010
0.41700000,0.34861194
0.41800000,0.34581043
0.41900000,0.34300560
0.42000000,0.34019747
0.42100000,0.33738606
0.42200000,0.33457141
0.42300000,0.33175354
0.42400000,0.32893247
0.42500000,0.32610823
0.42600000,0.32328085
0.42700000,0.32045035
0.42800000,0.31761677
0.42900000,0.31478012
0.43000000,0.31194043
0.43100000,0.30909773
0.43200000,0.30625205
0.43300000,0.30340341
0.43400000,0.30055183
0.43500000,0.29769736
0.43600000,0.29484001
0.43700000,0.29197980
0.43800000,0.28911677
0.43900000,0.28625095
0.44000000,0.28338236
0.44100000,0.28051102
0.44200000,0.27763697
0.44300000,0.27476022
0.44400000,0.27188082
0.44500000,0.26899878
0.44600000,0.26611414
0.44700000,0.26322691
0.44800000,0.26033714
0.44900000,0.25744483
0.45000000,0.25455003
0.45100000,0.25165276
0.45200000,0.24875305
0.45300000,0.24585092
0.45400000,0.24294640
0.45500000,0.24003953
0.45600000,0.23713032
0.45700000,0.23421881
0.45800000,0.23130502
0.45900000,0.22838898
0.46000000,0.22547072
0.46100000,0.22255027
0.46200000,0.21962765
0.46300000,0.21670289
0.46400000,0.21377603
0.46500000,0.21084709
0.46600000,0.20791609
0.46700000,0.20498306
0.46800000,0.20204804
0.46900000,0.19911105
0.47000000,0.19617212
0.47100000,0.19323128
0.47200000,0.19028856
0.47300000,0.18734398
0.47400000,0.18439757
0.47500000,0.18144936
0.47600000,0.17849938
0.47700000,0.17554767
0.47800000,0.17259423
0.47900000,0.16963912
0.48000000,0.16668234
0.48100000,0.16372394
0.48200000,0.16076394
0.48300000,0.15780237
0.48400000,0.15483926
0.48500000,0.15187464
0.48600000,0.14890853
0.48700000,0.14594096
0.48800000,0.14297197
0.48900000,0.14000159
0.49000000,0.13702983
0.49100000,0.13405673
0.49200000,0.13108232
0.49300000,0.12810663
0.49400000,0.12512969
0.49500000,0.12215152
0.49600000,0.11917216
0.49700000,0.11619163
0.49800000,0.11320996
0.49900000,0.11022718
0.50000000,0.10724333
0.50100000,0.10425842
0.50200000,0.10127250
0.50300000,0.09828558
0.50400000,0.09529770
0.50500000,0.09230889
0.50600000,0.08931917
0.50700000,0.08632858
0.50800000,0.08333714
0.50900000,0.08034488
0.51000000,0.07735184
0.51100000,0.07435804
0.51200000,0.07136351
0.51300000,0.06836828
0.51400000,0.06537238
0.51500000,0.06237584
0.51600000,0.05937869
0.51700000,0.05638096
0.51800000,0.05338267
0.51900000,0.05038386
0.52000000,0.04738456
0.52100000,0.04438479
0.52200000,0.04138459
0.52300000,0.03838398
0.52400000,0.03538299
0.52500000,0.03238166
0.52600000,0.02938001
0.52700000,0.02637807
0.52800000,0.02337587
0.52900000,0.02037344
0.53000000,0.01737082
0.53100000,0.01436802
0.53200000,0.01136508
0.53300000,0.00836203
0.53400000,0.00535890
0.53500000,0.00235572
0.53600000,-0.00064749
0.53700000,-0.00365069
0.53800000,-0.00665386
0.53900000,-0.00965696
0.54000000,-0.01265996
0.54100000,-0.01566284
0.54200000,-0.01866557
0.54300000,-0.02166812
0.54400000,-0.02467045
0.54500000,-0.02767254
0.54600000,-0.03067435
0.54700000,-0.03367587
0.54800000,-0.03667706
0.54900000,-0.03967789
0.55000000,-0.04267832
0.55100000,-0.04567834
0.55200000,-0.04867792
0.55300000,-0.05167701
0.55400000,-0.05467560
0.55500000,-0.05767365
0.55600000,-0.06067114
0.55700000,-0.06366803
0.55800000,-0.06666429
0.55900000,-0.06965991
0.56000000,-0.07265484
0.56100000,-0.07564906
0.56200000,-0.07864253
0.56300000,-0.08163524
0.56400000,-0.08462715
0.56500000,-0.08761823
0.56600000,-0.09060844
0.56700000,-0.09359778
0.56800000,-0.09658619
0.56900000,-0.09957366
0.57000000,-0.10256015
0.57100000,-0.10554564
0.57200000,-0.10853010
0.57300000,-0.11151349
0.57400000,-0.11449579
0.57500000,-0.11747697
0.57600000,-0.12045700
0.57700000,-0.12343585
0.57800000,-0.12641350
0.57900000,-0.12938990
0.58000000,-0.13236505
0.58100000,-0.13533889
0.58200000,-0.13831142
0.58300000,-0.14128259
0.58400000,-0.14425238
0.58500000,-0.14722075
0.58600000,-0.15018769
0.58700000,-0.15315317
0.58800000,-0.15611714
0.58900000,-0.15907959
0.59000000,-0.16204049
0.59100000,-0.16499980
0.59200000,-0.16795750
0.59300000,-0.17091357
0.59400000,-0.17386796
0.59500000,-0.17682066
0.59600000,-0.17977163
0.59700000,-0.18272085
0.59800000,-0.18566828
0.59900000,-0.18861390
0.60000000,-0.19155769
0.60100000,-0.19449960
0.60200000,-0.19743963
0.60300000,-0.20037772
0.60400000,-0.20331387
0.60500000,-0.20624803
0.60600000,-0.20918018
0.60700000,-0.21211030
0.60800000,-0.21503835
0.60900000,-0.21796431
0.61000000,-0.22088815
0.61100000,-0.22380983
0.61200000,-0.22672934
0.61300000,-0.22964665
0.61400000,-0.23256172
0.61500000,-0.23547453
0.61600000,-0.23838505
0.61700000,-0.24129326
0.61800000,-0.24419912
0.61900000,-0.24710261
0.62000000,-0.25000370
0.62100000,-0.25290237
0.62200000,-0.25579857
0.62300000,-0.25869230
0.62400000,-0.26158352
0.62500000,-0.26447220
0.62600000,-0.26735831
0.62700000,-0.27024184
0.62800000,-0.27312274
0.62900000,-0.27600100
0.63000000,-0.27887659
0.63100000,-0.28174947
0.63200000,-0.28461963
0.63300000,-0.28748703
0.63400000,-0.29035166
0.63500000,-0.29321347
0.63600000,-0.29607245
0.63700000,-0.29892856
0.63800000,-0.30178179
0.63900000,-0.30463210
0.64000000,-0.30747947
0.64100000,-0.31032387
0.64200000,-0.31316527
0.64300000,-0.31600365
0.64400000,-0.31883899
0.64500000,-0.32167124
0.64600000,-0.32450040
0.64700000,-0.32732643
0.64800000,-0.33014930
0.64900000,-0.33296900
0.65000000,-0.33578548
0.65100000,-0.33859874
0.65200000,-0.34140874
0.65300000,-0.34421545
0.65400000,-0.34701885
0.65500000,-0.34981892
0.65600000,-0.35261562
0.65700000,-0.35540893
0.65800000,-0.35819884
0.65900000,-0.36098530
0.66000000,-0.36376830
0.66100000,-0.36654780
0.66200000,-0.36932380
