t,theta
0.00000000,3.00000000
0.00100000,2.99999931
0.00300000,2.99999377
0.00700000,2.99996608
0.18483207,2.97569302
0.31637429,2.92493376
0.43494267,2.84784653
0.55364444,2.73025880
0.66433287,2.57076918
0.77080051,2.35599866
0.87971594,2.05466524
0.97747130,1.69747396
1.07789026,1.23493629
1.16881381,0.73687271
1.23855466,0.31710634
1.31042153,-0.13051630
1.37568372,-0.53198046
1.44173181,-0.91698613
1.51604009,-1.30967691
1.60182877,-1.69855322
1.68936161,-2.02227225
1.77886379,-2.28371955
1.89076131,-2.52834404
1.99531352,-2.69233852
2.10011078,-2.80969245
2.20501509,-2.89174030
2.31426798,-2.94866994
2.43053764,-2.98447008
2.55731550,-2.99968557
2.70304627,-2.98924118
2.83964446,-2.95038015
2.96317036,-2.88515493
3.08694321,-2.78127187
3.20060525,-2.63919084
3.30817211,-2.44847126
3.41490523,-2.18738534
3.53496363,-1.78412852
3.62604164,-1.38786607
3.71679347,-0.91477289
3.79200167,-0.47416527
3.85852255,-0.06302803
3.92531002,0.35243511
3.99019227,0.74197481
4.05951250,1.12750844
4.14560641,1.54717998
4.24083659,1.92783255
4.32739836,2.20172565
4.42845167,2.44722600
4.53443943,2.63593102
4.64163023,2.77222430
4.74579092,2.86528194
4.85314866,2.93064258
4.96656006,2.97384781
5.08898156,2.99669646
5.22606937,2.99682156
