t,theta
0.00000000,2.00000000
0.00100000,1.99999554
0.00300000,1.99995986
0.00700000,1.99978145
0.13499077,1.91823891
0.26316865,1.68479008
0.36520187,1.38532546
0.46653273,0.98972127
0.55532124,0.57430145
0.62784952,0.20306709
0.70101373,-0.18174152
0.76979988,-0.53535403
0.84037664,-0.87376628
0.91994936,-1.21043535
1.01285444,-1.53031987
1.10770546,-1.77021547
1.20149224,-1.92250390
1.30541254,-1.99662208
1.42560547,-1.96158984
1.56862925,-1.74804784
1.67371945,-1.46625888
1.77786889,-1.08176232
1.88023629,-0.61394121
1.95332743,-0.24203679
2.02741267,0.14744760
2.09634333,0.50326412
2.16650151,0.84255890
2.24475715,1.17856529
2.33929753,1.51067925
2.43518499,1.75878680
2.52857709,1.91540992
2.63171282,1.99479706
2.75077681,1.96777433
