t,theta
0.00000000,2.00000000
0.00100000,2.00000000
0.00200000,1.99999554
0.00300000,1.99998216
0.00400000,1.99995986
0.00500000,1.99992864
0.00600000,1.99988850
0.00700000,1.99983943
0.00800000,1.99978145
0.00900000,1.99971455
0.01000000,1.99963872
0.01100000,1.99955397
0.01200000,1.99946031
0.01300000,1.99935771
0.01400000,1.99924620
0.01500000,1.99912576
0.01600000,1.99899640
0.01700000,1.99885811
0.01800000,1.99871090
0.01900000,1.99855477
0.02000000,1.99838970
0.02100000,1.99821572
0.02200000,1.99803280
0.02300000,1.99784095
0.02400000,1.99764018
0.02500000,1.99743048
0.02600000,1.99721184
0.02700000,1.99698428
0.02800000,1.99674778
0.02900000,1.99650235
0.03000000,1.99624798
0.03100000,1.99598468
0.03200000,1.99571244
0.03300000,1.99543127
0.03400000,1.99514115
0.03500000,1.99484210
0.03600000,1.99453410
0.03700000,1.99421716
0.03800000,1.99389128
0.03900000,1.99355645
0.04000000,1.99321268
0.04100000,1.99285996
0.04200000,1.99249829
0.04300000,1.99212767
0.04400000,1.99174810
0.04500000,1.99135957
0.04600000,1.99096209
0.04700000,1.99055565
0.04800000,1.99014026
0.04900000,1.98971590
0.05000000,1.98928258
0.05100000,1.98884030
0.05200000,1.98838905
0.05300000,1.98792884
0.05400000,1.98745966
0.05500000,1.98698150
0.05600000,1.98649438
0.05700000,1.98599828
0.05800000,1.98549320
0.05900000,1.98497914
0.06000000,1.98445611
0.06100000,1.98392409
0.06200000,1.98338309
0.06300000,1.98283310
0.06400000,1.98227412
0.06500000,1.98170615
0.06600000,1.98112918
0.06700000,1.98054322
0.06800000,1.97994827
0.06900000,1.97934431
0.07000000,1.97873135
0.07100000,1.97810938
0.07200000,1.97747841
0.07300000,1.97683843
0.07400000,1.97618944
0.07500000,1.97553143
0.07600000,1.97486440
0.07700000,1.97418835
0.07800000,1.97350328
0.07900000,1.97280919
0.08000000,1.97210606
0.08100000,1.97139391
0.08200000,1.97067272
0.08300000,1.96994250
0.08400000,1.96920324
0.08500000,1.96845494
0.08600000,1.96769759
0.08700000,1.96693119
0.08800000,1.96615575
0.08900000,1.96537125
0.09000000,1.96457769
0.09100000,1.96377508
0.09200000,1.96296340
0.09300000,1.96214266
0.09400000,1.96131285
0.09500000,1.96047397
0.09600000,1.95962601
0.09700000,1.95876898
0.09800000,1.95790286
0.09900000,1.95702767
0.10000000,1.95614338
0.10100000,1.95525000
0.10200000,1.95434753
0.10300000,1.95343596
0.10400000,1.95251530
0.10500000,1.95158552
0.10600000,1.95064664
0.10700000,1.94969865
0.10800000,1.94874155
0.10900000,1.94777533
0.11000000,1.94679998
0.11100000,1.94581551
0.11200000,1.94482192
0.11300000,1.94381919
0.11400000,1.94280733
0.11500000,1.94178632
0.11600000,1.94075618
0.11700000,1.93971689
0.11800000,1.93866845
0.11900000,1.93761085
0.12000000,1.93654410
0.12100000,1.93546819
0.12200000,1.93438311
0.12300000,1.93328886
0.12400000,1.93218544
0.12500000,1.93107284
0.12600000,1.92995107
0.12700000,1.92882011
0.12800000,1.92767996
0.12900000,1.92653062
0.13000000,1.92537208
0.13100000,1.92420435
0.13200000,1.92302741
0.13300000,1.92184126
0.13400000,1.92064590
0.13500000,1.91944133
0.13600000,1.91822753
0.13700000,1.91700452
0.13800000,1.91577227
0.13900000,1.91453079
0.14000000,1.91328008
0.14100000,1.91202012
0.14200000,1.91075092
0.14300000,1.90947248
0.14400000,1.90818478
0.14500000,1.90688782
0.14600000,1.90558160
0.14700000,1.90426612
0.14800000,1.90294136
0.14900000,1.90160734
0.15000000,1.90026403
0.15100000,1.89891144
0.15200000,1.89754957
0.15300000,1.89617840
0.15400000,1.89479794
0.15500000,1.89340818
0.15600000,1.89200912
0.15700000,1.89060075
0.15800000,1.88918306
0.15900000,1.88775606
0.16000000,1.88631974
0.16100000,1.88487409
0.16200000,1.88341911
0.16300000,1.88195480
0.16400000,1.88048114
0.16500000,1.87899815
0.16600000,1.87750580
0.16700000,1.87600411
0.16800000,1.87449306
0.16900000,1.87297264
0.17000000,1.87144286
0.17100000,1.86990371
0.17200000,1.86835519
0.17300000,1.86679729
0.17400000,1.86523000
0.17500000,1.86365333
0.17600000,1.86206726
0.17700000,1.86047180
0.17800000,1.85886694
0.17900000,1.85725267
0.18000000,1.85562899
0.18100000,1.85399589
0.18200000,1.85235338
0.18300000,1.85070144
0.18400000,1.84904008
0.18500000,1.84736928
0.18600000,1.84568904
0.18700000,1.84399936
0.18800000,1.84230024
0.18900000,1.84059167
0.19000000,1.83887364
0.19100000,1.83714615
0.19200000,1.83540920
0.19300000,1.83366277
0.19400000,1.83190688
0.19500000,1.83014151
0.19600000,1.82836665
0.19700000,1.82658231
0.19800000,1.82478848
0.19900000,1.82298516
0.20000000,1.82117233
0.20100000,1.81935000
0.20200000,1.81751816
0.20300000,1.81567681
0.20400000,1.81382594
0.20500000,1.81196555
0.20600000,1.81009563
0.20700000,1.80821619
0.20800000,1.80632720
0.20900000,1.80442868
0.21000000,1.80252062
0.21100000,1.80060300
0.21200000,1.79867584
0.21300000,1.79673912
0.21400000,1.79479284
0.21500000,1.79283699
0.21600000,1.79087158
0.21700000,1.78889659
0.21800000,1.78691202
0.21900000,1.78491787
0.22000000,1.78291414
0.22100000,1.78090081
0.22200000,1.77887789
0.22300000,1.77684538
0.22400000,1.77480326
0.22500000,1.77275153
0.22600000,1.77069019
0.22700000,1.76861924
0.22800000,1.76653867
0.22900000,1.76444848
0.23000000,1.76234866
0.23100000,1.76023921
0.23200000,1.75812012
0.23300000,1.75599140
0.23400000,1.75385303
0.23500000,1.75170502
0.23600000,1.74954736
0.23700000,1.74738005
0.23800000,1.74520307
0.23900000,1.74301644
0.24000000,1.74082014
0.24100000,1.73861418
0.24200000,1.73639854
0.24300000,1.73417322
0.24400000,1.73193823
0.24500000,1.72969355
0.24600000,1.72743919
0.24700000,1.72517513
0.24800000,1.72290139
0.24900000,1.72061794
0.25000000,1.71832480
0.25100000,1.71602195
0.25200000,1.71370940
0.25300000,1.71138713
0.25400000,1.70905516
0.25500000,1.70671346
0.25600000,1.70436205
0.25700000,1.70200091
0.25800000,1.69963005
0.25900000,1.69724946
0.26000000,1.69485914
0.26100000,1.69245908
0.26200000,1.69004929
0.26300000,1.68762976
0.26400000,1.68520048
0.26500000,1.68276146
0.26600000,1.68031268
0.26700000,1.67785416
0.26800000,1.67538589
0.26900000,1.67290785
0.27000000,1.67042006
0.27100000,1.66792251
0.27200000,1.66541519
0.27300000,1.66289811
0.27400000,1.66037126
0.27500000,1.65783463
0.27600000,1.65528824
0.27700000,1.65273207
0.27800000,1.65016612
0.27900000,1.64759039
0.28000000,1.64500489
0.28100000,1.64240960
0.28200000,1.63980452
0.28300000,1.63718966
0.28400000,1.63456501
0.28500000,1.63193057
0.28600000,1.62928634
0.28700000,1.62663231
0.28800000,1.62396849
0.28900000,1.62129487
0.29000000,1.61861146
0.29100000,1.61591825
0.29200000,1.61321524
0.29300000,1.61050242
0.29400000,1.60777981
0.29500000,1.60504739
0.29600000,1.60230517
0.29700000,1.59955314
0.29800000,1.59679130
0.29900000,1.59401966
0.30000000,1.59123821
0.30100000,1.58844696
0.30200000,1.58564589
0.30300000,1.58283502
0.30400000,1.58001433
0.30500000,1.57718384
0.30600000,1.57434354
0.30700000,1.57149343
0.30800000,1.56863351
0.30900000,1.56576377
0.31000000,1.56288423
0.31100000,1.55999488
0.31200000,1.55709572
0.31300000,1.55418675
0.31400000,1.55126797
0.31500000,1.54833938
0.31600000,1.54540099
0.31700000,1.54245279
0.31800000,1.53949478
0.31900000,1.53652697
0.32000000,1.53354935
0.32100000,1.53056193
0.32200000,1.52756471
0.32300000,1.52455768
0.32400000,1.52154086
0.32500000,1.51851424
0.32600000,1.51547782
0.32700000,1.51243161
0.32800000,1.50937561
0.32900000,1.50630981
0.33000000,1.50323422
0.33100000,1.50014885
0.33200000,1.49705369
0.33300000,1.49394874
0.33400000,1.49083402
0.33500000,1.48770952
0.33600000,1.48457524
0.33700000,1.48143119
0.33800000,1.47827736
0.33900000,1.47511377
0.34000000,1.47194042
0.34100000,1.46875730
0.34200000,1.46556442
0.34300000,1.46236179
0.34400000,1.45914940
0.34500000,1.45592727
0.34600000,1.45269539
0.34700000,1.44945377
0.34800000,1.44620241
0.34900000,1.44294131
0.35000000,1.43967049
0.35100000,1.43638994
0.35200000,1.43309967
0.35300000,1.42979968
0.35400000,1.42648998
0.35500000,1.42317057
0.35600000,1.41984146
0.35700000,1.41650265
0.35800000,1.41315415
0.35900000,1.40979596
0.36000000,1.40642808
0.36100000,1.40305053
0.36200000,1.39966331
0.36300000,1.39626641
0.36400000,1.39285986
0.36500000,1.38944365
0.36600000,1.38601780
0.36700000,1.38258230
0.36800000,1.37913716
0.36900000,1.37568239
0.37000000,1.37221800
0.37100000,1.36874399
0.37200000,1.36526038
0.37300000,1.36176715
0.37400000,1.35826434
0.37500000,1.35475193
0.37600000,1.35122994
0.37700000,1.34769837
0.37800000,1.34415724
0.37900000,1.34060655
0.38000000,1.33704631
0.38100000,1.33347653
0.38200000,1.32989721
0.38300000,1.32630836
0.38400000,1.32271000
0.38500000,1.31910212
0.38600000,1.31548475
0.38700000,1.31185788
0.38800000,1.30822153
0.38900000,1.30457571
0.39000000,1.30092042
0.39100000,1.29725568
0.39200000,1.29358149
0.39300000,1.28989787
0.39400000,1.28620482
0.39500000,1.28250235
0.39600000,1.27879048
0.39700000,1.27506922
0.39800000,1.27133857
0.39900000,1.26759855
0.40000000,1.26384916
0.40100000,1.26009043
0.40200000,1.25632235
0.40300000,1.25254495
0.40400000,1.24875822
0.40500000,1.24496220
0.40600000,1.24115687
0.40700000,1.23734227
0.40800000,1.23351840
0.40900000,1.22968527
0.41000000,1.22584289
0.41100000,1.22199128
0.41200000,1.21813046
0.41300000,1.21426042
0.41400000,1.21038120
0.41500000,1.20649279
0.41600000,1.20259522
0.41700000,1.19868849
0.41800000,1.19477263
0.41900000,1.19084764
0.42000000,1.18691355
0.42100000,1.18297035
0.42200000,1.17901808
0.42300000,1.17505673
0.42400000,1.17108634
0.42500000,1.16710691
0.42600000,1.16311846
0.42700000,1.15912100
0.42800000,1.15511455
0.42900000,1.15109913
0.43000000,1.14707475
0.43100000,1.14304142
0.43200000,1.13899917
0.43300000,1.13494801
0.43400000,1.13088796
0.43500000,1.12681903
0.43600000,1.12274124
0.43700000,1.11865461
0.43800000,1.11455916
0.43900000,1.11045490
0.44000000,1.10634185
0.44100000,1.10222003
0.44200000,1.09808946
0.44300000,1.09395015
0.44400000,1.08980213
0.44500000,1.08564541
0.44600000,1.08148002
0.44700000,1.07730596
0.44800000,1.07312327
0.44900000,1.06893195
0.45000000,1.06473204
0.45100000,1.06052354
0.45200000,1.05630648
0.45300000,1.05208089
0.45400000,1.04784677
0.45500000,1.04360416
0.45600000,1.03935307
0.45700000,1.03509352
0.45800000,1.03082553
0.45900000,1.02654913
0.46000000,1.02226434
0.46100000,1.01797118
0.46200000,1.01366967
0.46300000,1.00935983
0.46400000,1.00504169
0.46500000,1.00071526
0.46600000,0.99638058
0.46700000,0.99203766
0.46800000,0.98768653
0.46900000,0.98332721
0.47000000,0.97895973
0.47100000,0.97458410
0.47200000,0.97020036
0.47300000,0.96580852
0.47400000,0.96140862
0.47500000,0.95700067
0.47600000,0.95258470
0.47700000,0.94816074
0.47800000,0.94372881
0.47900000,0.93928893
0.48000000,0.93484114
0.48100000,0.93038545
0.48200000,0.92592190
0.48300000,0.92145051
0.48400000,0.91697130
0.48500000,0.91248431
0.48600000,0.90798956
0.48700000,0.90348707
0.48800000,0.89897688
0.48900000,0.89445901
0.49000000,0.88993349
0.49100000,0.88540035
0.49200000,0.88085961
0.49300000,0.87631131
0.49400000,0.87175547
0.49500000,0.86719212
0.49600000,0.86262129
0.49700000,0.85804301
0.49800000,0.85345731
0.49900000,0.84886421
0.50000000,0.84426375
0.50100000,0.83965596
0.50200000,0.83504087
0.50300000,0.83041850
0.50400000,0.82578889
0.50500000,0.82115207
0.50600000,0.81650807
0.50700000,0.81185693
0.50800000,0.80719866
0.50900000,0.80253331
0.51000000,0.79786090
0.51100000,0.79318147
0.51200000,0.78849505
0.51300000,0.78380167
0.51400000,0.77910137
0.51500000,0.77439417
0.51600000,0.76968011
0.51700000,0.76495923
0.51800000,0.76023155
0.51900000,0.75549712
0.52000000,0.75075595
0.52100000,0.74600810
0.52200000,0.74125358
0.52300000,0.73649245
0.52400000,0.73172472
0.52500000,0.72695044
0.52600000,0.72216964
0.52700000,0.71738235
0.52800000,0.71258862
0.52900000,0.70778847
0.53000000,0.70298194
0.53100000,0.69816907
0.53200000,0.69334990
0.53300000,0.68852446
0.53400000,0.68369278
0.53500000,0.67885490
0.53600000,0.67401087
0.53700000,0.66916071
0.53800000,0.66430447
0.53900000,0.65944218
0.54000000,0.65457388
0.54100000,0.64969961
0.54200000,0.64481940
0.54300000,0.63993330
0.54400000,0.63504134
0.54500000,0.63014356
0.54600000,0.62524000
0.54700000,0.62033069
0.54800000,0.61541569
0.54900000,0.61049502
0.55000000,0.60556872
0.55100000,0.60063685
0.55200000,0.59569943
0.55300000,0.59075650
0.55400000,0.58580811
0.55500000,0.58085430
0.55600000,0.57589510
0.55700000,0.57093056
0.55800000,0.56596072
0.55900000,0.56098562
0.56000000,0.55600530
0.56100000,0.55101981
0.56200000,0.54602917
0.56300000,0.54103344
0.56400000,0.53603266
0.56500000,0.53102687
0.56600000,0.52601612
0.56700000,0.52100043
0.56800000,0.51597987
0.56900000,0.51095446
0.57000000,0.50592426
0.57100000,0.50088930
0.57200000,0.49584963
0.57300000,0.49080529
0.57400000,0.48575633
0.57500000,0.48070279
0.57600000,0.47564472
0.57700000,0.47058215
0.57800000,0.46551513
0.57900000,0.46044371
0.58000000,0.45536793
0.58100000,0.45028784
0.58200000,0.44520348
0.58300000,0.44011489
0.58400000,0.43502212
0.58500000,0.42992522
0.58600000,0.42482423
0.58700000,0.41971920
0.58800000,0.41461017
0.58900000,0.40949719
0.59000000,0.40438030
0.59100000,0.39925955
0.59200000,0.39413499
0.59300000,0.38900666
0.59400000,0.38387461
0.59500000,0.37873889
0.59600000,0.37359954
0.59700000,0.36845661
0.59800000,0.36331014
0.59900000,0.35816019
0.60000000,0.35300680
0.60100000,0.34785002
0.60200000,0.34268990
0.60300000,0.33752648
0.60400000,0.33235981
0.60500000,0.32718994
0.60600000,0.32201691
0.60700000,0.31684079
0.60800000,0.31166160
0.60900000,0.30647941
0.61000000,0.30129426
0.61100000,0.29610620
0.61200000,0.29091527
0.61300000,0.28572153
0.61400000,0.28052503
0.61500000,0.27532581
0.61600000,0.27012392
0.61700000,0.26491941
0.61800000,0.25971234
0.61900000,0.25450275
0.62000000,0.24929068
0.62100000,0.24407620
0.62200000,0.23885935
0.62300000,0.23364017
0.62400000,0.22841873
0.62500000,0.22319506
0.62600000,0.21796922
0.62700000,0.21274126
0.62800000,0.20751123
0.62900000,0.20227918
0.63000000,0.19704515
0.63100000,0.19180921
0.63200000,0.18657139
0.63300000,0.18133176
0.63400000,0.17609036
0.63500000,0.17084724
0.63600000,0.16560245
0.63700000,0.16035604
0.63800000,0.15510807
0.63900000,0.14985858
0.64000000,0.14460763
0.64100000,0.13935526
0.64200000,0.13410153
0.64300000,0.12884649
0.64400000,0.12359019
0.64500000,0.11833268
0.64600000,0.11307401
0.64700000,0.10781424
0.64800000,0.10255340
0.64900000,0.09729157
0.65000000,0.09202878
0.65100000,0.08676509
0.65200000,0.08150055
0.65300000,0.07623521
0.65400000,0.07096913
0.65500000,0.06570235
0.65600000,0.06043492
0.65700000,0.05516690
0.65800000,0.04989834
0.65900000,0.04462930
0.66000000,0.03935981
0.66100000,0.03408994
0.66200000,0.02881973
0.66300000,0.02354924
0.66400000,0.01827852
0.66500000,0.01300762
0.66600000,0.00773660
0.66700000,0.00246549
0.66800000,-0.00280563
0.66900000,-0.00807673
0.67000000,-0.01334775
0.67100000,-0.01861864
0.67200000,-0.02388935
0.67300000,-0.02915982
0.67400000,-0.03443001
0.67500000,-0.03969985
0.67600000,-0.04496931
0.67700000,-0.05023833
0.67800000,-0.05550686
0.67900000,-0.06077484
0.68000000,-0.06604222
0.68100000,-0.07130896
0.68200000,-0.07657500
0.68300000,-0.08184029
0.68400000,-0.08710478
0.68500000,-0.09236841
0.68600000,-0.09763114
0.68700000,-0.10289291
0.68800000,-0.10815367
0.68900000,-0.11341338
0.69000000,-0.11867198
0.69100000,-0.12392941
0.69200000,-0.12918563
0.69300000,-0.13444059
0.69400000,-0.13969423
0.69500000,-0.14494651
0.69600000,-0.15019737
0.69700000,-0.15544676
0.69800000,-0.16069463
0.69900000,-0.16594094
0.70000000,-0.17118562
0.70100000,-0.17642863
0.70200000,-0.18166992
0.70300000,-0.18690944
0.70400000,-0.19214713
0.70500000,-0.19738295
0.70600000,-0.20261685
0.70700000,-0.20784878
0.70800000,-0.21307868
0.70900000,-0.21830650
0.71000000,-0.22353220
0.71100000,-0.22875573
0.71200000,-0.23397703
0.71300000,-0.23919605
0.71400000,-0.24441275
0.71500000,-0.24962708
0.71600000,-0.25483899
0.71700000,-0.26004842
0.71800000,-0.26525533
0.71900000,-0.27045967
0.72000000,-0.27566138
0.72100000,-0.28086043
0.72200000,-0.28605676
0.72300000,-0.29125032
0.72400000,-0.29644106
0.72500000,-0.30162894
0.72600000,-0.30681390
0.72700000,-0.31199590
0.72800000,-0.31717489
0.72900000,-0.32235082
0.73000000,-0.32752364
0.73100000,-0.33269330
0.73200000,-0.33785976
0.73300000,-0.34302297
0.73400000,-0.34818288
0.73500000,-0.35333945
0.73600000,-0.35849262
