t,theta
0.00000000,0.50000000
0.00100000,0.50000000
0.00200000,0.49999765
0.00300000,0.49999059
0.00400000,0.49997884
0.00500000,0.49996238
0.00600000,0.49994121
0.00700000,0.49991535
0.00800000,0.49988478
0.00900000,0.49984951
0.01000000,0.49980953
0.01100000,0.49976486
0.01200000,0.49971548
0.01300000,0.49966141
0.01400000,0.49960263
0.01500000,0.49953915
0.01600000,0.49947098
0.01700000,0.49939811
0.01800000,0.49932053
0.01900000,0.49923826
0.02000000,0.49915130
0.02100000,0.49905964
0.02200000,0.49896328
0.02300000,0.49886223
0.02400000,0.49875649
0.02500000,0.49864605
0.02600000,0.49853092
0.02700000,0.49841110
0.02800000,0.49828659
0.02900000,0.49815740
0.03000000,0.49802351
0.03100000,0.49788494
0.03200000,0.49774169
0.03300000,0.49759375
0.03400000,0.49744113
0.03500000,0.49728383
0.03600000,0.49712184
0.03700000,0.49695518
0.03800000,0.49678385
0.03900000,0.49660783
0.04000000,0.49642715
0.04100000,0.49624179
0.04200000,0.49605176
0.04300000,0.49585706
0.04400000,0.49565769
0.04500000,0.49545366
0.04600000,0.49524496
0.04700000,0.49503161
0.04800000,0.49481359
0.04900000,0.49459091
0.05000000,0.49436358
0.05100000,0.49413159
0.05200000,0.49389495
0.05300000,0.49365366
0.05400000,0.49340772
0.05500000,0.49315713
0.05600000,0.49290190
0.05700000,0.49264203
0.05800000,0.49237752
0.05900000,0.49210837
0.06000000,0.49183458
0.06100000,0.49155617
0.06200000,0.49127312
0.06300000,0.49098544
0.06400000,0.49069314
0.06500000,0.49039622
0.06600000,0.49009468
0.06700000,0.48978852
0.06800000,0.48947774
0.06900000,0.48916235
0.07000000,0.48884235
0.07100000,0.48851775
0.07200000,0.48818854
0.07300000,0.48785473
0.07400000,0.48751632
0.07500000,0.48717332
0.07600000,0.48682572
0.07700000,0.48647354
0.07800000,0.48611676
0.07900000,0.48575541
0.08000000,0.48538947
0.08100000,0.48501896
0.08200000,0.48464388
0.08300000,0.48426422
0.08400000,0.48388000
0.08500000,0.48349121
0.08600000,0.48309786
0.08700000,0.48269996
0.08800000,0.48229750
0.08900000,0.48189049
0.09000000,0.48147894
0.09100000,0.48106284
0.09200000,0.48064221
0.09300000,0.48021703
0.09400000,0.47978733
0.09500000,0.47935310
0.09600000,0.47891434
0.09700000,0.47847107
0.09800000,0.47802327
0.09900000,0.47757096
0.10000000,0.47711415
0.10100000,0.47665283
0.10200000,0.47618701
0.10300000,0.47571669
0.10400000,0.47524188
0.10500000,0.47476258
0.10600000,0.47427879
0.10700000,0.47379053
0.10800000,0.47329779
0.10900000,0.47280058
0.11000000,0.47229890
0.11100000,0.47179276
0.11200000,0.47128216
0.11300000,0.47076710
0.11400000,0.47024760
0.11500000,0.46972365
0.11600000,0.46919526
0.11700000,0.46866243
0.11800000,0.46812518
0.11900000,0.46758349
0.12000000,0.46703739
0.12100000,0.46648687
0.12200000,0.46593194
0.12300000,0.46537260
0.12400000,0.46480885
0.12500000,0.46424071
0.12600000,0.46366818
0.12700000,0.46309126
0.12800000,0.46250996
0.12900000,0.46192428
0.13000000,0.46133423
0.13100000,0.46073981
0.13200000,0.46014103
0.13300000,0.45953789
0.13400000,0.45893041
0.13500000,0.45831857
0.13600000,0.45770240
0.13700000,0.45708189
0.13800000,0.45645705
0.13900000,0.45582789
0.14000000,0.45519441
0.14100000,0.45455662
0.14200000,0.45391452
0.14300000,0.45326812
0.14400000,0.45261742
0.14500000,0.45196243
0.14600000,0.45130316
0.14700000,0.45063961
0.14800000,0.44997179
0.14900000,0.44929970
0.15000000,0.44862335
0.15100000,0.44794274
0.15200000,0.44725789
0.15300000,0.44656879
0.15400000,0.44587546
0.15500000,0.44517789
0.15600000,0.44447610
0.15700000,0.44377010
0.15800000,0.44305988
0.15900000,0.44234545
0.16000000,0.44162683
0.16100000,0.44090401
0.16200000,0.44017701
0.16300000,0.43944583
0.16400000,0.43871047
0.16500000,0.43797095
0.16600000,0.43722726
0.16700000,0.43647942
0.16800000,0.43572744
0.16900000,0.43497131
0.17000000,0.43421105
0.17100000,0.43344667
0.17200000,0.43267816
0.17300000,0.43190554
0.17400000,0.43112881
0.17500000,0.43034799
0.17600000,0.42956307
0.17700000,0.42877407
