t,theta
0.00000000,3.00000000
0.00100000,3.00000000
0.00200000,2.99999931
0.00300000,2.99999723
0.00400000,2.99999377
0.00500000,2.99998892
0.00600000,2.99998269
0.00700000,2.99997508
0.00800000,2.99996608
0.00900000,2.99995570
0.01000000,2.99994393
0.01100000,2.99993078
0.01200000,2.99991624
0.01300000,2.99990031
0.01400000,2.99988300
0.01500000,2.99986431
0.01600000,2.99984423
0.01700000,2.99982276
0.01800000,2.99979991
0.01900000,2.99977567
0.02000000,2.99975005
0.02100000,2.99972303
0.02200000,2.99969463
0.02300000,2.99966485
0.02400000,2.99963367
0.02500000,2.99960111
0.02600000,2.99956716
0.02700000,2.99953182
0.02800000,2.99949509
0.02900000,2.99945698
0.03000000,2.99941747
0.03100000,2.99937657
0.03200000,2.99933428
0.03300000,2.99929061
0.03400000,2.99924554
0.03500000,2.99919908
0.03600000,2.99915122
0.03700000,2.99910198
0.03800000,2.99905134
0.03900000,2.99899930
0.04000000,2.99894588
0.04100000,2.99889106
0.04200000,2.99883484
0.04300000,2.99877723
0.04400000,2.99871822
0.04500000,2.99865781
0.04600000,2.99859601
0.04700000,2.99853281
0.04800000,2.99846821
0.04900000,2.99840221
0.05000000,2.99833481
0.05100000,2.99826601
0.05200000,2.99819581
0.05300000,2.99812421
0.05400000,2.99805120
0.05500000,2.99797680
0.05600000,2.99790098
0.05700000,2.99782377
0.05800000,2.99774514
0.05900000,2.99766511
0.06000000,2.99758368
0.06100000,2.99750083
0.06200000,2.99741658
0.06300000,2.99733092
0.06400000,2.99724385
0.06500000,2.99715536
0.06600000,2.99706547
0.06700000,2.99697416
0.06800000,2.99688144
0.06900000,2.99678730
0.07000000,2.99669175
0.07100000,2.99659478
0.07200000,2.99649639
0.07300000,2.99639659
0.07400000,2.99629537
0.07500000,2.99619272
0.07600000,2.99608866
0.07700000,2.99598317
0.07800000,2.99587626
0.07900000,2.99576792
0.08000000,2.99565816
0.08100000,2.99554697
0.08200000,2.99543435
0.08300000,2.99532031
0.08400000,2.99520484
0.08500000,2.99508793
0.08600000,2.99496959
0.08700000,2.99484982
0.08800000,2.99472862
0.08900000,2.99460598
0.09000000,2.99448190
0.09100000,2.99435639
0.09200000,2.99422943
0.09300000,2.99410104
0.09400000,2.99397120
0.09500000,2.99383992
0.09600000,2.99370720
0.09700000,2.99357303
0.09800000,2.99343741
0.09900000,2.99330035
0.10000000,2.99316184
0.10100000,2.99302187
0.10200000,2.99288046
0.10300000,2.99273759
0.10400000,2.99259326
0.10500000,2.99244748
0.10600000,2.99230024
0.10700000,2.99215155
0.10800000,2.99200139
0.10900000,2.99184977
0.11000000,2.99169668
0.11100000,2.99154214
0.11200000,2.99138612
0.11300000,2.99122864
0.11400000,2.99106968
0.11500000,2.99090926
0.11600000,2.99074736
0.11700000,2.99058399
0.11800000,2.99041915
0.11900000,2.99025282
0.12000000,2.99008502
0.12100000,2.98991574
0.12200000,2.98974497
0.12300000,2.98957272
0.12400000,2.98939899
0.12500000,2.98922377
0.12600000,2.98904706
0.12700000,2.98886885
0.12800000,2.98868916
0.12900000,2.98850797
0.13000000,2.98832529
0.13100000,2.98814110
0.13200000,2.98795542
0.13300000,2.98776824
0.13400000,2.98757955
0.13500000,2.98738936
0.13600000,2.98719767
0.13700000,2.98700446
0.13800000,2.98680974
0.13900000,2.98661351
0.14000000,2.98641577
0.14100000,2.98621651
0.14200000,2.98601573
0.14300000,2.98581344
0.14400000,2.98560962
0.14500000,2.98540427
0.14600000,2.98519740
0.14700000,2.98498901
0.14800000,2.98477908
0.14900000,2.98456762
0.15000000,2.98435463
0.15100000,2.98414010
0.15200000,2.98392403
0.15300000,2.98370642
0.15400000,2.98348727
0.15500000,2.98326657
0.15600000,2.98304433
0.15700000,2.98282054
0.15800000,2.98259520
0.15900000,2.98236830
0.16000000,2.98213985
0.16100000,2.98190985
0.16200000,2.98167828
0.16300000,2.98144515
0.16400000,2.98121045
0.16500000,2.98097419
0.16600000,2.98073636
0.16700000,2.98049696
0.16800000,2.98025599
0.16900000,2.98001344
0.17000000,2.97976931
0.17100000,2.97952360
0.17200000,2.97927630
0.17300000,2.97902743
0.17400000,2.97877696
0.17500000,2.97852491
0.17600000,2.97827126
