t,theta
0.00000000,1.00000000
0.00100000,0.99999587
0.00300000,0.99996285
0.13031264,0.93044644
0.25765033,0.73458534
0.35692310,0.50731409
0.44432235,0.26806935
0.53213494,0.00795666
0.61403084,-0.23556478
0.69483395,-0.46100015
0.77878360,-0.66513481
0.87078705,-0.83987515
0.97999508,-0.96700390
1.12042210,-0.98934068
1.26645482,-0.84285896
1.37693543,-0.62784943
1.46949812,-0.39315867
1.55362661,-0.15170437
1.63793745,0.10067443
1.71879265,0.33641607
1.80045746,0.55318287
1.88720177,0.74585021
1.98506665,0.90308068
2.10896112,0.99624711
2.25309069,0.94672118
